,main0,main1,main2
показатель,0.0013311655,0.0013475815,0.0024293878
погибать,0.0049046413,0.00395547,0.00031340308
предложение,0.0004123244,0.0020868802,0.0010236711
основной,0.0031367298,0.00012409422,0.0001419287
коллега,0.0003869883,0.0008416721,0.0034949635
боевик,0.0065240543,0.0019649398,0.00023599424
рубль,0.008876221,0.00995274,0.00067006086
арестовывать,0.00035803454,0.0019919835,0.00064441893
морской,0.00027096982,0.0016915597,0.00094176957
человек,0.003540851,0.0013315782,0.013180762
март,0.0021212483,0.00708786,0.0013036339
гражданин,0.00069502846,0.00130397,0.002914121
мужчина,0.0012323066,0.003499407,0.0037641323
основа,0.0018788177,0.00031633233,0.001374129
образ,0.0017338822,0.00069690973,0.0016703499
направлять,0.00039160636,1.9043062e-05,0.0021684694
четверг,0.0015265788,0.00069779094,0.002308623
иметь,0.0037416066,0.0013270165,0.0022148713
европа,0.0012136868,0.0030955225,0.00015697957
проводить,0.0076509183,0.0007087761,0.0023920306
считать,0.0026894049,0.0010335508,0.0012216842
газета,0.0055954363,0.0022374704,0.0021562923
приговаривать,0.0010242496,0.0015431903,0.000524689
дело,0.0062320353,0.0010371654,0.008552916
область,0.0004992264,0.00060949096,0.0040897774
протест,0.0022133708,0.001122598,0.0014889566
очередь,0.0022141258,0.00018606693,0.0007467071
столкновение,0.0011649934,0.0024276527,0.0007154273
миллион,0.008635265,0.0056955805,0.0017198194
машина,0.0003175109,0.00230592,0.002887575
белый,0.00093053526,0.0036856786,0.00087881606
глава,0.0010960619,0.005284275,0.005413242
неизвестный,0.0005361427,0.0010596737,0.0017418533
вернуться,0.0021284174,0.0018129302,0.00051538716
переговоры,0.0020052877,0.0016745585,0.0021875945
составлять,0.010973626,0.0035255367,0.0017662273
несколько,0.0075054234,0.000102143335,0.0034631423
поэтому,0.0008179259,0.0012735819,0.0013744746
именно,0.00049845234,0.00042580627,0.0027579824
